"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cytoplasmic translation","GO:0002181","true","4.6612023747094096e-54","53.33150204096109","156","422","62","16307","RPL29,RPL34,RPL10A,RPL3,RPS17,RPS8,RPL13A,EIF3E,RACK1,RPL14,RPS21,RPL32,RPL10,RPL15,RPS14,RPL27A,RPL12,RPL35,RPS5,RPS6,RPL22,RPS23,RPL7A,RPL5,RPS2,RPL31,EIF2S3,RPL4,RPS4X,RPL23,RPL26,RPL13,RPS16,RPL22L1,EIF4B,RPS12,RPS3,EIF3L,RPL8,RPL18,RPS15A,RPL37A,RPS11,RPS24,DPH2,EIF3H,EIF2D,RPLP2,RPS29,RPS13,PABPC1,RPL37,RPL6,EIF3D,RPL36,RPLP0,RPL24,EIF2S2,RPL35A,FAU,EIF3M,RPS7"
"GO:BP","rRNA processing","GO:0006364","false","7.92514404257673e-15","14.10099283556728","177","422","31","16307","RPL10A,RPS17,RPS8,URB1,RPL14,RPS21,RPS14,RPL35,RPS6,IMP4,FBL,RPL7A,RPL5,RPL26,NOL6,RPS16,DIMT1,RRS1,NOB1,DKC1,RRP12,NSA2,RPS24,DDX10,NIFK,NAT10,RPL35A,BOP1,RPS7,NOP53,NOLC1"
"GO:BP","ribosomal large subunit biogenesis","GO:0042273","false","5.355577663318447e-13","12.271193678434157","74","422","20","16307","RPL10A,SPATA5,URB1,RPL14,RPL10,NPM1,RPL35,RSL24D1,NOP16,RPL7A,RPL5,RPL26,RRS1,NSA2,NIFK,RPL6,RPLP0,RPL35A,BOP1,NOP53"
"GO:BP","translational initiation","GO:0006413","false","1.0934505378178952e-8","7.96120085747188","112","422","19","16307","ATF4,RPS17,RPL13A,EIF3E,CTIF,NPM1,RPS5,EIF4EBP1,EIF2S3,EIF4B,RPS3,EIF3L,NCK2,EIF3H,EIF2D,EIF3D,BZW2,EIF2S2,EIF3M"
"GO:BP","tRNA aminoacylation for protein translation","GO:0006418","false","2.269072775659982e-8","7.644151574824322","39","422","12","16307","FARS2,AARS1,IARS1,WARS2,TARS1,LARS1,MARS1,YARS1,FARSB,GARS1,EPRS1,VARS1"
"GO:BP","tRNA aminoacylation","GO:0043039","false","7.841783455055618e-8","7.105585154585277","43","422","12","16307","FARS2,AARS1,IARS1,WARS2,TARS1,LARS1,MARS1,YARS1,FARSB,GARS1,EPRS1,VARS1"
"GO:BP","amino acid activation","GO:0043038","false","9.894387149897914e-8","7.004611100463162","44","422","12","16307","FARS2,AARS1,IARS1,WARS2,TARS1,LARS1,MARS1,YARS1,FARSB,GARS1,EPRS1,VARS1"
"GO:BP","ribosomal small subunit biogenesis","GO:0042274","false","2.0980180123058567e-7","6.678190787538333","68","422","14","16307","RPS17,RPS8,RPS21,RPS14,NPM1,RPS5,RPS6,IMP4,RPS16,RRS1,NOB1,RPS24,NAT10,RPS7"
"GO:BP","ribonucleoprotein complex assembly","GO:0022618","false","0.0000035861874886187758","5.445367008933337","194","422","21","16307","RPL13A,EIF3E,RPL10,RPS14,RPS5,RPL5,EIF2S3,EIF4B,EIF3L,RRS1,SRSF6,EIF3H,EIF2D,PRMT5,RPL6,EIF3D,RPLP0,EIF2S2,BOP1,EIF3M,NOP53"
"GO:BP","tRNA metabolic process","GO:0006399","false","0.000003615011733210842","5.441890288781496","177","422","20","16307","CDKAL1,FARS2,AARS1,IARS1,WARS2,THG1L,TARS1,DTD1,LARS1,PUS7,MARS1,YARS1,PUS1,FARSB,DUS3L,METTL1,GARS1,EPRS1,VARS1,TRMT1"
"GO:BP","cytoplasmic translational initiation","GO:0002183","false","0.00000407063977577122","5.390337328059484","39","422","10","16307","RPL13A,EIF3E,EIF2S3,EIF4B,EIF3L,EIF3H,EIF2D,EIF3D,EIF2S2,EIF3M"
"GO:BP","ribosome assembly","GO:0042255","false","0.000008268650039947698","5.082565388640642","53","422","11","16307","RPL10,RPS14,NPM1,RPS5,RPL5,RRS1,EIF2A,RPL6,RPLP0,BOP1,NOP53"
"GO:BP","ribosomal large subunit assembly","GO:0000027","false","0.0000734962805155293","4.133734639044446","22","422","7","16307","RPL10,RPL5,RRS1,RPL6,RPLP0,BOP1,NOP53"
